,name,position,club,division,based,nation,age,preferredfoot,preferredfootsimple,bestpos,bestpossimple,bestrole,value,wage,ca,pa,1v1,cor,cro,dri,fin,fir,fre,hea,lon,lth,mar,pas,pen,tck,tec,agg,ant,bra,cmp,cnt,dec,det,fla,ldr,otb,pos,tea,vis,wor,acc,aer,agi,bal,height,jum,nat,pac,sta,str,weight,cmd,com,ecc,han,kic,pun,ref,thr,tro
1121,Ademola Lookman,"M/AM (RL), ST (C)",Fulham,English Premier Division,England (Premier Division),ENG,21,Right,Right,M (L),M,IW,8000000,49500,136,151,2,9,12,15,13,13,11,8,14,6,4,10,10,6,14,13,9,8,12,11,8,14,14,5,13,6,8,10,13,17,3,15,13,174,7,14,15,12,9,78,3,4,3,2,1,3,1,2,1
1139,Florin Andone,ST (C),Brighton,English Premier Division,England (Premier Division),ROU,26,Right,Right,ST (C),ST,PF,19000000,42000,130,151,1,10,12,13,14,13,11,12,12,9,7,13,13,8,14,17,13,16,12,14,13,17,13,13,14,10,15,10,16,15,1,13,13,180,11,15,14,14,13,78,1,3,1,3,3,3,1,1,1
1141,Gabriel,D (C),Arsenal,English Premier Division,England (Premier Division),BRA,21,Left,Left,D (C),D,CD,18000000,93000,140,151,3,5,7,8,6,12,5,13,6,7,16,13,7,15,12,15,13,12,12,13,14,15,1,8,10,14,14,12,14,14,2,13,13,190,15,14,13,15,15,78,3,1,3,1,3,2,2,2,2
1150,Joachim Andersen,D (C),Fulham,English Premier Division,England (Premier Division),DEN,23,Right,Right,D (C),D,BPD,6750000,52000,135,151,1,8,8,8,6,13,8,14,8,6,15,14,8,15,13,12,15,13,14,11,12,16,12,10,11,14,12,12,12,12,1,11,15,192,14,13,12,14,14,87,1,2,3,4,1,2,3,1,3
1170,Matty Longstaff,"DM, M/AM (C)",Newcastle,English Premier Division,England (Premier Division),ENG,19,Right,Right,M (C),M,BBM,10000000,750,127,151,1,10,10,12,11,13,11,9,13,8,11,13,12,12,12,14,12,14,13,12,12,14,11,10,12,12,15,13,18,12,3,10,11,170,6,13,13,15,13,69,3,3,2,1,2,4,3,3,1
1185,Tom Heaton,GK,Aston Villa,English Premier Division,England (Premier Division),ENG,33,Right,Right,GK,GK,G,12750000,50000,137,151,13,2,1,3,1,8,5,8,1,3,2,12,3,3,8,7,13,14,9,17,14,14,1,18,2,14,18,11,6,8,14,12,10,188,14,13,9,10,13,86,13,16,6,13,10,5,16,11,11
1187,Marcos Alonso,D/WB/M (L),Chelsea,English Premier Division,England (Premier Division),ESP,28,Left,Left,WB (L),WB,WB,0,100000,144,151,1,14,13,12,14,14,15,16,14,12,13,14,12,14,14,12,14,12,14,12,14,13,12,9,15,13,14,13,15,12,1,10,15,188,13,14,12,16,15,87,1,1,1,3,2,2,3,1,2
1188,Willy Caballero,GK,Chelsea,English Premier Division,England (Premier Division),ARG,37,Right Only,Right,GK,GK,SK,0,30000,140,151,12,10,3,2,2,12,13,2,2,2,1,12,1,2,9,6,13,12,13,13,14,15,12,14,7,14,12,12,13,9,10,15,13,186,13,12,12,10,12,81,15,14,8,16,12,14,16,12,16
1203,Aleksandar Mitrovic,ST (C),Fulham,English Premier Division,England (Premier Division),SRB,24,Right,Right,ST (C),ST,TM,21000000,60000,136,150,4,4,5,11,15,15,6,15,7,4,9,13,15,7,15,16,11,18,14,13,13,14,12,13,13,7,16,12,15,13,3,12,16,189,16,13,13,15,17,82,1,2,4,1,1,3,2,2,1
1219,Calum Chambers,"D (RC), DM",Arsenal,English Premier Division,England (Premier Division),ENG,24,Right Only,Right,D (R),D,FB,22500000,50000,139,150,2,6,11,11,9,13,7,14,8,12,15,13,8,15,13,13,14,13,14,13,13,14,9,11,11,14,15,12,14,13,4,11,14,183,14,14,13,15,14,73,2,1,2,2,1,2,4,3,2
1230,Curtis Jones,"M (C), AM (RLC)",Liverpool,English Premier Division,England (Premier Division),ENG,18,Right Only,Right,AM (L),AM,IW,17000000,4000,131,150,1,11,12,14,13,14,12,8,13,7,9,15,12,9,15,10,11,10,14,12,12,15,15,13,13,8,12,14,12,15,3,14,13,189,9,12,14,12,11,81,4,2,1,2,3,3,2,4,3
1238,Dennis Praet,M/AM (C),Leicester,English Premier Division,England (Premier Division),BEL,25,Right,Right,M (C),M,AP,24000000,75000,140,150,2,14,14,15,11,15,12,8,12,12,8,15,10,12,16,7,12,13,14,18,15,13,16,11,13,10,14,14,12,12,1,13,8,181,9,14,12,15,10,78,4,1,3,3,1,3,3,1,2
1253,Erik Lamela,AM (RLC),Tottenham,English Premier Division,England (Premier Division),ARG,27,Left Only,Left,AM (R),AM,IW,25000000,80000,140,150,3,13,14,15,11,14,14,9,13,4,9,15,14,12,16,14,13,12,17,11,11,16,17,5,14,9,16,16,18,13,2,16,13,181,9,10,13,14,11,80,1,2,3,2,1,2,4,1,3
1282,Issa Diop,D (C),West Ham,English Premier Division,England (Premier Division),FRA,22,Right Only,Right,D (C),D,CD,15250000,60000,132,150,1,3,3,10,6,11,5,16,9,8,13,10,4,15,11,14,14,12,12,12,13,15,3,14,11,14,14,9,14,13,3,10,14,194,17,16,14,13,16,92,1,3,3,3,3,1,2,2,1
1286,James Tarkowski,D (C),Burnley,English Premier Division,England (Premier Division),ENG,26,Right,Right,D (C),D,BPD,22500000,50000,136,150,1,3,6,10,8,13,4,16,6,7,15,14,10,15,12,13,14,14,14,14,12,13,10,13,8,15,16,9,15,14,3,10,13,186,14,14,13,13,12,77,2,4,1,1,2,3,3,1,2
1287,James Ward-Prowse,"DM, M (C)",Southampton,English Premier Division,England (Premier Division),ENG,24,Right,Right,M (C),M,BBM,24000000,45000,140,150,1,16,18,10,12,13,16,7,11,6,9,15,12,13,15,10,11,12,10,13,13,17,11,14,13,11,15,16,19,12,3,13,14,173,7,18,11,18,10,66,1,2,1,1,3,2,2,1,3
1293,Jesse Lingard,"M (RL), AM (RLC)",West Ham,English Premier Division,England (Premier Division),ENG,26,Right,Right,AM (L),AM,IW,27500000,75000,141,150,1,8,11,13,12,14,6,5,12,4,5,13,10,6,14,15,13,13,10,12,12,16,13,5,18,10,16,11,17,15,2,15,13,175,5,16,15,17,8,62,1,1,1,2,2,2,4,3,3
1295,John McGinn,"DM, M/AM (C)",Aston Villa,English Premier Division,England (Premier Division),SCO,24,Left,Left,M (C),M,MEZ,23000000,50000,139,150,1,11,14,13,13,13,10,8,14,9,9,14,10,13,15,14,12,13,12,11,13,15,11,8,14,13,13,15,16,13,2,12,14,181,8,15,13,14,15,77,2,2,3,2,2,3,2,3,1
1309,Kasper Schmeichel,GK,Leicester,English Premier Division,England (Premier Division),DEN,32,Either,Either,GK,GK,SK,24500000,130000,150,150,16,9,2,1,3,8,14,13,1,1,1,8,1,3,10,17,14,16,12,12,14,16,2,17,2,13,15,13,15,12,12,14,8,189,12,15,11,12,10,84,14,14,16,14,15,16,16,16,16
1313,Kostas Tsimikas,D/WB (L),Liverpool,English Premier Division,England (Premier Division),GRE,23,Left Only,Left,D (L),D,WB,17000000,86000,138,150,3,12,15,14,6,14,9,8,10,13,13,12,10,14,13,15,13,15,13,12,11,17,13,6,14,13,13,12,15,16,1,15,14,175,8,15,16,14,12,67,3,1,1,1,3,3,2,3,2
1315,Leander Dendoncker,"D (C), DM, M (C)",Wolves,English Premier Division,England (Premier Division),BEL,24,Right,Right,M (C),M,BBM,24000000,75000,140,150,2,9,9,11,11,11,10,15,11,10,14,14,5,14,11,14,14,14,12,15,14,12,10,12,11,12,15,11,15,14,1,12,14,188,15,12,12,14,12,76,3,2,4,3,1,3,3,1,2
1316,Lewis Dunk,D (C),Brighton,English Premier Division,England (Premier Division),ENG,27,Right,Right,D (C),D,BPD,21500000,48000,139,150,2,5,7,9,6,13,9,14,5,6,13,14,10,15,13,13,14,17,14,13,14,14,8,14,7,14,11,12,14,12,3,11,10,191,16,13,14,14,14,78,2,2,4,2,3,1,2,2,1
1323,Manuel Lanzini,AM (C),West Ham,English Premier Division,England (Premier Division),ARG,26,Right,Right,AM (C),AM,AP,17000000,70000,132,150,2,13,12,16,12,15,13,8,13,2,6,13,10,5,16,12,11,10,13,10,12,12,15,10,14,5,13,14,12,15,1,14,13,167,8,12,14,13,8,64,3,3,1,1,2,1,3,3,1
1330,Martin Dubravka,GK,Newcastle,English Premier Division,England (Premier Division),SVK,30,Right,Right,GK,GK,SK,15000000,40000,135,150,15,1,1,1,1,11,2,3,2,5,5,12,3,3,10,9,15,14,12,10,11,15,14,13,3,15,12,12,10,13,15,12,13,190,15,14,9,10,12,83,13,13,5,15,14,11,15,11,14
1343,Moussa Sissoko,"M (RC), AM (R)",Tottenham,English Premier Division,England (Premier Division),FRA,29,Right,Right,M (C),M,BBM,34000000,80000,149,150,1,9,12,15,11,13,10,13,10,5,11,13,13,14,12,11,16,14,12,14,15,13,12,12,15,12,17,13,18,14,3,13,16,187,13,17,14,18,16,91,2,1,3,3,3,3,2,2,1
1347,Nathan Redmond,"AM (RLC), ST (C)",Southampton,English Premier Division,England (Premier Division),ENG,25,Right,Right,AM (L),AM,IW,28500000,80000,143,150,4,7,13,15,12,13,8,5,13,3,7,12,6,8,13,10,13,13,11,13,13,15,14,4,13,11,11,12,14,16,2,14,15,173,6,14,16,14,9,75,3,2,3,2,1,3,1,1,1
1348,Nathaniel Clyne,D/WB (R),Crystal Palace,English Premier Division,England (Premier Division),ENG,28,Right Only,Right,D (R),D,WB,19500000,72000,138,150,1,5,9,10,5,13,3,8,4,11,12,12,5,16,13,12,12,14,13,14,14,12,8,9,13,14,16,9,16,15,3,15,15,176,10,17,14,17,14,67,2,3,1,2,3,1,2,4,1
1358,Ola Aina,D/WB/M (RL),Fulham,English Premier Division,England (Premier Division),NGA,22,Right,Right,M (L),M,IW,10250000,25000,138,150,2,5,12,15,6,12,4,10,6,18,10,11,6,11,12,11,11,9,12,11,11,10,13,7,11,10,9,9,13,17,1,14,12,182,10,16,17,13,11,82,2,1,1,1,1,3,1,3,2
1360,Ozan Kabak,D (C),Liverpool,English Premier Division,England (Premier Division),TUR,19,Right,Right,D (C),D,CD,6000000,33000,129,150,3,3,6,8,5,11,4,15,6,8,15,12,6,16,11,8,13,15,14,11,11,14,6,9,6,12,14,10,12,13,3,13,15,186,14,13,12,12,16,86,1,4,1,1,1,1,3,3,3
1362,Pascal GroÃ,M/AM (C),Brighton,English Premier Division,England (Premier Division),GER,28,Right,Right,AM (C),AM,AP,21000000,53000,136,150,3,17,17,10,12,14,15,9,14,6,9,15,13,9,15,13,13,12,15,14,14,15,14,11,15,12,14,15,16,8,3,13,11,181,10,15,9,17,12,78,2,1,1,2,2,2,1,3,2
1373,Ryan Fraser,M/AM (RL),Newcastle,English Premier Division,England (Premier Division),SCO,25,Right,Right,AM (L),AM,IW,27500000,50000,142,150,2,13,15,13,14,13,11,2,12,2,6,14,6,7,12,7,12,13,12,10,13,13,13,10,14,10,14,11,14,17,3,13,14,163,3,12,16,13,13,64,2,2,3,1,3,1,3,3,2
1382,Steven Alzate,M/AM (C),Brighton,English Premier Division,England (Premier Division),COL,20,Right,Right,AM (C),AM,AP,11000000,15000,125,150,1,9,9,14,9,14,9,6,9,4,7,14,9,9,14,6,10,11,14,12,12,13,15,6,14,9,14,14,14,14,1,15,14,177,8,12,13,14,9,65,3,3,1,1,3,3,1,3,2
1383,Stuart Armstrong,"M (C), AM (RC)",Southampton,English Premier Division,England (Premier Division),SCO,27,Right,Right,AM (C),AM,AM,20000000,50000,135,150,1,13,12,13,15,14,12,10,14,5,6,15,12,8,15,11,14,10,12,10,12,14,12,14,12,10,13,14,14,12,3,14,9,183,10,12,12,15,12,68,4,1,1,3,3,2,1,3,4
1385,Takumi Minamino,"M (RL), AM (RLC), ST (C)",Southampton,English Premier Division,England (Premier Division),JPN,24,Right,Right,AM (R),AM,IW,28500000,75000,143,150,2,10,6,16,13,15,10,6,7,6,6,14,10,6,15,12,11,14,11,13,11,14,16,8,14,7,13,14,13,16,3,16,10,174,8,14,15,12,9,68,3,1,2,2,3,2,3,2,3
1393,Vicente Guaita,GK,Crystal Palace,English Premier Division,England (Premier Division),ESP,32,Right,Right,GK,GK,SK,17000000,60000,142,150,14,10,2,2,1,8,12,8,3,1,1,8,4,1,10,6,13,13,13,15,13,15,3,11,2,16,11,13,11,10,14,13,14,190,15,13,11,14,13,80,14,13,6,16,12,17,15,15,14
1398,Wesley,ST (C),Aston Villa,English Premier Division,England (Premier Division),BRA,22,Right,Right,ST (C),ST,PF,14250000,50000,129,150,4,9,8,9,12,12,10,14,10,10,8,11,13,5,11,16,14,13,13,12,13,12,13,8,15,8,14,12,14,12,1,12,15,190,16,15,12,14,17,93,3,2,1,2,3,2,1,3,3
1404,Yves Bissouma,M (C),Brighton,English Premier Division,England (Premier Division),MLI,22,Right,Right,M (C),M,MEZ,12000000,27000,127,150,3,11,11,14,12,13,14,8,14,7,8,13,9,9,13,8,11,13,13,12,12,11,13,8,14,10,13,10,15,15,1,14,13,182,12,14,14,16,14,78,2,1,3,2,3,2,1,2,2
1406,Edouard Mendy,GK,Chelsea,English Premier Division,England (Premier Division),SEN,27,Right Only,Right,GK,GK,SK,0,115000,140,150,14,10,1,2,3,8,13,8,1,3,3,10,3,1,8,10,14,12,13,14,12,14,8,11,2,13,13,8,10,11,15,14,13,197,17,15,11,13,16,86,14,12,14,15,13,8,17,12,12
1408,AdriÃ  BernabÃ©,"M (C), AM (LC)",Man City,English Premier Division,England (Premier Division),ESP,18,Left Only,Left,M (C),M,MEZ,450000,20000,96,149,2,10,13,13,10,15,5,8,9,9,8,13,7,10,14,7,11,8,9,7,10,6,14,2,10,7,10,13,13,12,3,12,10,192,12,15,13,9,8,79,2,2,1,3,2,3,2,2,3
1423,Andi Zeqiri,"AM (L), ST (C)",Brighton,English Premier Division,England (Premier Division),SUI,20,Left,Left,ST (C),ST,AF,5750000,8500,110,149,2,7,10,14,13,14,9,10,10,6,7,11,11,6,14,7,12,8,12,13,9,10,14,6,14,6,11,11,11,10,3,12,13,185,12,12,12,13,11,80,1,2,1,1,4,3,1,1,1
1431,Ben Knight,AM (RC),Man City,English Premier Division,England (Premier Division),ENG,17,Left Only,Left,AM (C),AM,AM,130000,5000,78,149,3,8,11,11,8,13,7,10,11,5,6,8,7,4,14,8,10,8,10,5,8,19,14,9,10,10,9,8,11,14,1,12,4,159,4,13,12,10,4,55,3,3,3,3,3,3,2,1,1
1451,Dennis Cirkin,D (L),Tottenham,English Premier Division,England (Premier Division),ENG,17,Left Only,Left,D (L),D,WB,190000,120,93,149,3,10,11,10,9,11,6,9,8,6,10,11,6,11,13,10,10,11,10,11,10,4,8,10,12,10,12,9,13,13,3,11,10,177,10,14,13,12,9,68,2,2,3,2,1,2,2,3,2
1460,Fabian Delph,"D (L), M (C)",Everton,English Premier Division,England (Premier Division),ENG,29,Left,Left,M (C),M,BBM,24000000,100000,135,149,1,10,11,12,12,12,10,8,13,6,8,14,8,14,12,15,13,17,12,13,13,12,12,16,13,14,17,13,16,13,1,15,14,174,8,12,14,14,15,78,4,2,3,1,3,2,1,3,3
1463,Finley Burns,D (C),Man City,English Premier Division,England (Premier Division),ENG,16,Right Only,Right,D (C),D,CD,45000,120,70,149,2,6,4,3,2,9,4,12,5,4,8,9,7,13,7,10,11,9,8,7,13,7,1,1,6,14,7,7,9,14,3,10,5,188,11,12,10,5,7,73,2,2,1,2,3,3,2,3,2
1477,Jairo Riedewald,"D (LC), DM",Crystal Palace,English Premier Division,England (Premier Division),NED,22,Left,Left,D (L),D,FB,10000000,55000,126,149,3,8,9,9,7,12,8,10,6,8,13,15,8,13,13,12,13,12,13,13,13,11,10,10,10,14,14,15,11,12,4,13,14,188,13,13,14,13,11,78,3,2,3,1,3,4,3,2,2
1483,Joe Gelhardt,ST (C),Leeds,English Premier Division,England (Premier Division),ENG,17,Left,Left,ST (C),ST,AF,750000,6000,104,149,1,8,9,14,13,13,8,8,11,4,2,8,9,2,13,13,9,12,13,10,8,13,13,4,11,5,12,12,14,14,3,13,14,176,7,10,13,10,13,81,1,1,3,1,3,1,1,1,2
1492,Kalvin Phillips,"DM, M (C)",Leeds,English Premier Division,England (Premier Division),ENG,23,Right,Right,M (C),M,BBM,24000000,30000,140,149,1,14,13,12,11,13,13,11,12,5,12,13,10,13,13,16,15,15,13,14,14,15,10,10,12,13,15,14,16,12,3,12,14,178,9,17,13,15,14,72,3,3,1,3,3,3,1,1,1
1519,Michal Karbownik,"D/WB (L), DM, M (C)",Brighton,English Premier Division,England (Premier Division),POL,18,Right,Right,DM,DM,BWM,750000,6250,107,149,1,11,8,12,6,12,12,7,8,8,10,12,10,10,12,16,13,11,8,11,10,14,12,6,12,10,14,12,11,12,3,14,12,174,7,12,12,13,7,64,2,1,1,2,1,1,1,1,3
1522,Morgan Sanson,M/AM (C),Aston Villa,English Premier Division,England (Premier Division),FRA,24,Right,Right,M (C),M,DLP,20000000,58000,137,149,2,12,13,14,10,15,13,8,12,5,8,16,10,9,15,12,13,12,14,12,13,14,14,10,13,10,16,15,16,15,1,14,13,180,9,15,14,14,12,73,2,3,2,3,2,1,3,3,3
1532,Pedro Neto,"AM (RLC), ST (C)",Wolves,English Premier Division,England (Premier Division),POR,19,Left,Left,AM (R),AM,IW,6500000,25000,119,149,3,10,13,14,12,13,9,7,10,3,5,12,8,3,13,9,9,9,12,10,11,15,15,7,13,6,10,11,9,14,1,13,11,172,7,14,15,11,7,63,3,3,3,2,1,3,1,2,2
1554,Timothy Castagne,D/WB/M (RL),Leicester,English Premier Division,England (Premier Division),BEL,23,Right,Right,D (R),D,WB,32500000,83000,142,149,3,8,13,13,10,13,7,9,9,9,12,13,6,12,13,12,12,12,13,14,13,18,11,10,15,13,14,10,15,14,4,14,14,184,12,14,15,14,11,74,2,3,3,2,3,2,2,3,1
1563,Levi Colwill,"D (LC), WB (L)",Chelsea,English Premier Division,England (Premier Division),ENG,16,Left,Left,D (L),D,FB,0,120,70,149,1,4,6,5,5,7,1,7,8,5,6,6,2,7,7,8,6,8,9,6,8,8,1,13,6,7,9,6,9,14,2,7,11,182,13,15,14,10,10,69,1,2,2,1,2,1,1,1,4
1565,Myles Peart-Harris,M/AM (C),Chelsea,English Premier Division,England (Premier Division),ENG,16,Right,Right,AM (C),AM,SS,0,120,75,149,2,10,11,9,10,10,13,6,11,5,5,8,6,8,12,5,7,7,11,6,7,20,10,1,11,5,6,12,6,14,3,7,11,188,12,14,13,9,9,73,3,3,2,2,2,2,1,2,2
1568,Aaron Ramsdale,GK,Sheff Utd,English Premier Division,England (Premier Division),ENG,21,Right,Right,GK,GK,G,15000000,51000,135,148,16,4,3,2,3,10,8,6,3,2,3,12,3,2,11,11,12,13,12,13,13,18,6,7,9,13,10,11,10,11,14,14,12,191,14,13,11,13,13,65,11,14,9,15,12,10,16,10,8
1581,Ben White,D (C),Brighton,English Premier Division,England (Premier Division),ENG,21,Right,Right,D (C),D,BPD,14500000,3000,131,148,2,3,6,11,5,13,4,12,5,7,14,13,5,13,13,9,14,13,15,13,13,13,13,10,10,13,14,13,13,13,2,13,13,185,13,13,14,15,13,81,3,1,2,3,3,2,1,2,2
1583,Bertrand TraorÃ©,"M/AM (RL), ST (C)",Aston Villa,English Premier Division,England (Premier Division),BFA,23,Left Only,Left,AM (R),AM,IW,23000000,76000,138,148,1,13,14,14,14,15,13,12,10,4,6,13,8,5,14,8,10,9,12,10,9,13,13,7,14,10,9,11,11,16,3,16,10,181,10,13,16,13,10,73,3,1,2,1,3,1,2,1,1
1618,Jamaal Lascelles,D (C),Newcastle,English Premier Division,England (Premier Division),ENG,25,Right,Right,D (C),D,CD,15250000,50000,132,148,3,3,4,8,5,10,3,16,3,3,15,10,3,15,10,15,13,15,12,13,12,14,4,17,8,14,15,4,15,11,1,10,11,191,15,16,13,14,16,84,2,3,1,1,3,1,2,1,2
1620,Jean-Philippe Mateta,ST (C),Crystal Palace,English Premier Division,England (Premier Division),FRA,21,Right,Right,ST (C),ST,P,7250000,30000,135,148,1,7,8,13,16,12,8,11,10,4,7,11,12,5,12,9,13,11,14,11,12,11,13,8,15,7,12,9,10,13,2,12,15,192,15,13,16,12,16,84,3,1,3,3,1,1,2,2,1
1637,Kieran Gibbs,D/WB (L),West Brom,English Premier Division,England (Premier Division),ENG,29,Left,Left,D (L),D,FB,9250000,30000,125,148,2,10,13,13,7,14,6,9,8,12,12,12,6,12,14,11,14,14,13,12,13,14,11,6,13,12,15,11,13,13,2,16,12,178,9,14,14,13,10,66,2,3,2,2,1,3,3,1,1
1656,Matheus Pereira,M/AM (RL),West Brom,English Premier Division,England (Premier Division),BRA,23,Left,Left,M (R),M,IW,16000000,30500,131,148,3,13,14,16,12,15,12,6,14,7,6,13,11,6,16,9,10,9,13,8,12,8,17,6,14,6,10,14,8,15,3,16,12,175,7,14,14,12,7,69,2,3,3,2,1,1,1,2,1
1663,Michael Obafemi,"AM (R), ST (C)",Southampton,English Premier Division,England (Premier Division),IRL,18,Right,Right,ST (C),ST,PF,4000000,16000,115,148,3,7,7,11,11,9,7,9,10,7,7,6,11,9,7,10,10,9,11,10,8,19,12,1,9,6,11,10,13,17,2,14,15,171,8,14,17,14,15,70,2,2,3,2,2,1,2,1,1
1664,Michail Antonio,M/AM (R),West Ham,English Premier Division,England (Premier Division),ENG,29,Right,Right,AM (R),AM,W,19000000,65000,134,148,3,8,11,14,12,12,6,15,9,15,9,11,10,8,13,13,11,13,11,9,10,14,14,9,12,9,14,10,13,15,3,14,16,180,12,13,16,13,16,82,1,4,3,2,3,1,3,3,1
1669,Nathan Ferguson,D (RC),Crystal Palace,English Premier Division,England (Premier Division),ENG,18,Right,Right,D (C),D,CD,10000000,8250,125,148,1,10,9,12,6,13,8,13,9,4,12,10,8,13,10,18,11,12,11,9,15,10,1,9,10,13,11,9,12,13,1,12,12,180,9,14,14,14,15,76,2,2,2,2,4,2,3,3,3
1672,Nicolas Hansen,GK,Everton,English Premier Division,England (Premier Division),USA,17,Right,Right,GK,GK,SK,97000,1000,78,148,8,5,3,2,2,1,9,1,2,1,3,11,3,2,3,12,8,12,7,10,13,17,2,1,3,12,6,6,6,9,11,13,7,185,11,14,11,4,5,72,10,7,4,13,12,9,13,7,10
1679,Phil Jones,D (C),Man Utd,English Premier Division,England (Premier Division),ENG,27,Right,Right,D (C),D,CD,18000000,110000,138,148,3,5,9,8,6,13,3,16,1,8,15,13,8,17,13,15,14,19,10,10,12,16,4,10,6,16,14,5,16,12,1,9,13,185,12,14,13,17,16,72,2,1,2,1,3,3,3,2,2
1681,Pierre-Emile HÃ¸jbjerg,"DM, M/AM (C)",Tottenham,English Premier Division,England (Premier Division),DEN,23,Right,Right,M (C),M,DLP,18000000,55000,134,148,1,12,13,11,12,16,13,8,9,10,10,13,12,11,16,17,11,14,16,9,9,16,11,13,14,10,16,15,17,11,3,10,16,185,12,16,12,16,14,84,3,3,1,1,2,3,1,2,3
1697,Scott Carson,GK,Man City,English Premier Division,England (Premier Division),ENG,33,Right,Right,GK,GK,G,2100000,20000,118,148,14,8,1,1,2,7,12,2,1,1,1,8,4,3,6,11,11,13,10,13,10,13,2,15,1,12,12,9,12,8,14,13,13,190,13,14,9,13,15,86,14,14,13,14,10,10,13,10,11
1704,Sidnei Tavares,M (C),Leicester,English Premier Division,England (Premier Division),POR,17,Right,Right,M (C),M,MEZ,95000,750,75,148,2,9,9,12,8,10,9,2,10,5,10,12,13,5,11,6,7,6,9,10,8,16,13,2,11,8,12,12,12,12,2,8,9,183,11,15,12,7,10,74,1,1,2,1,2,3,3,1,2
1726,Anthony Elanga,AM (RL),Man Utd,English Premier Division,England (Premier Division),SWE,17,Right,Right,AM (L),AM,W,180000,120,82,147,3,10,12,11,11,9,6,6,11,6,5,6,2,7,6,6,8,8,7,4,5,11,15,6,9,6,6,7,6,16,2,6,8,178,3,13,16,6,9,68,1,3,2,4,4,2,1,1,4
1739,Cole Palmer,AM (C),Man City,English Premier Division,England (Premier Division),ENG,17,Left Only,Left,AM (C),AM,AM,120000,1500,77,147,2,9,7,12,10,8,9,9,10,4,6,10,6,11,13,8,7,9,10,9,8,14,15,4,8,7,7,10,9,14,3,12,7,168,6,12,12,10,7,61,2,1,3,1,1,2,3,1,3
1748,Ezri Konsa,"D (RC), DM",Aston Villa,English Premier Division,England (Premier Division),ENG,21,Right,Right,D (C),D,BPD,12000000,30000,128,147,1,4,7,11,4,11,3,13,3,7,14,13,4,15,13,13,13,12,15,12,12,11,10,8,7,14,15,14,16,14,1,14,13,183,12,14,13,15,12,77,2,3,3,1,4,1,2,2,4
1764,James Hillson,GK,Arsenal,English Premier Division,England (Premier Division),ENG,18,Either,Either,GK,GK,G,97000,750,78,147,10,3,3,1,1,1,5,1,1,1,2,3,2,2,5,15,10,11,4,9,12,15,3,10,1,11,6,5,5,10,11,11,6,177,7,10,12,1,5,68,11,9,8,12,7,13,12,8,6
1780,Ki-Jana Hoever,"D (RC), WB (R)",Wolves,English Premier Division,England (Premier Division),NED,17,Right,Right,WB (R),WB,WB,500000,9000,98,147,2,6,10,13,9,12,13,11,9,7,11,10,8,11,11,11,10,10,13,10,10,15,10,8,10,11,10,11,10,13,1,11,11,180,12,12,13,10,10,65,2,1,1,3,3,3,2,1,4
1782,Leandro Trossard,"AM (RLC), ST (C)",Brighton,English Premier Division,England (Premier Division),BEL,24,Right,Right,AM (L),AM,IW,20000000,40000,135,147,1,11,11,15,12,13,12,5,12,4,4,14,15,4,15,15,10,14,13,13,15,11,15,8,15,5,8,15,12,16,3,14,10,172,6,8,15,12,9,67,1,2,3,1,3,2,3,4,2
1783,Louie Barry,"AM (R), ST (C)",Aston Villa,English Premier Division,England (Premier Division),ENG,16,Right,Right,ST (C),ST,AF,225000,120,80,147,1,6,8,12,13,12,9,11,11,3,2,9,10,3,12,9,10,11,9,8,9,15,15,6,11,5,6,8,9,12,3,13,9,174,8,15,11,8,8,63,2,2,2,3,1,1,1,1,3
1791,Mario Lemina,"DM, M (C)",Fulham,English Premier Division,England (Premier Division),GAB,25,Right,Right,M (C),M,BBM,24000000,65000,140,147,1,9,9,13,11,15,8,12,11,10,13,15,9,14,15,10,13,14,11,9,10,14,12,10,15,8,13,14,16,15,3,15,15,184,11,14,15,15,14,85,4,2,2,2,1,3,2,1,1
1806,Neco Williams,D/WB/M/AM (R),Liverpool,English Premier Division,England (Premier Division),WAL,18,Right Only,Right,WB (R),WB,WB,475000,775,97,147,3,11,15,11,9,10,9,9,7,9,10,11,6,11,12,16,10,10,8,9,8,14,10,3,7,8,10,9,10,14,3,9,8,188,14,14,13,14,7,77,1,2,1,2,1,1,2,1,1
1822,Teddy Jenks,"DM, M (C)",Brighton,English Premier Division,England (Premier Division),ENG,17,Right,Right,M (C),M,BBM,86000,1400,76,147,2,7,7,9,7,7,7,8,8,6,8,9,4,9,9,11,7,9,9,9,8,14,13,10,9,9,10,11,14,13,1,8,10,191,13,15,11,14,10,79,1,2,4,2,3,2,3,2,3
1829,Willy Boly,D (C),Wolves,English Premier Division,England (Premier Division),FRA,28,Right,Right,D (C),D,BPD,25500000,50000,143,147,1,2,4,12,6,11,3,18,6,5,14,13,5,14,13,17,14,14,13,11,12,13,13,12,9,16,13,11,13,13,2,11,16,195,17,14,13,13,17,97,1,2,3,1,2,3,3,1,1
1835,Dujon Sterling,D/WB/M/AM (R),Chelsea,English Premier Division,England (Premier Division),ENG,19,Right,Right,D (R),D,WB,0,6500,118,147,2,9,10,11,10,7,9,12,8,9,7,6,9,10,8,11,9,10,10,10,8,17,12,6,8,10,10,8,12,18,3,10,11,180,11,13,17,12,11,73,4,1,2,1,2,2,3,2,1
